날짜,금액,거래처,
20240925,1500,버스이용,
20240925,15000,CGV,
20240925,9900,육앤샤,
20240926,1900,CU,
20240926,24840,에이블리,
20240926,1500,버스이용,
20240926,16100,배달의 민족,
20240927,5500,투썸플레이스,
20240927,25000,롯데마트,
20240928,2550,버스이용,
20240928,3200,세븐일레븐,
20240928,21000,일백집,
20240928,2550,버스이용,
20240929,21900,배달의 민족,
20240929,3000,크라운PC방,
20240929,8000,크라운PC방,
20240930,1500,버스이용,
20240930,1500,버스이용,
20241001,2420,카카오바이크,
20241001,15000,다온푸드,
20241001,6500,세븐일레븐,
20241002,7200,이비인후과,
20241002,4200,우리약국,
20241003,10800,메가커피,
20241003,13000,미용실,
20241004,6100,CU,
20241004,1020,카카오바이크,
20241004,3000,쥬시,
20241005,70630,에이블리,
20241005,1500,버스이용,
20241005,12100,스타벅스,
20241006,15000,메가박스,
20241006,6900,마라탕,
20241006,5000,노래방,
20241006,12900,대동서적,
20241007,1500,버스이용,
20241007,1500,이마트24,
20241008,2420,카카오바이크,
20241008,6800,서브웨이,
20241009,15900,카카오선물하기,
20241009,9500,카바레식당,
20241009,17000,심쿵피어싱,
20241009,1500,버스이용,
20241009,5000,노래방,
