날짜,금액,거래처,카테고리
20240925,1500,버스이용,교통
20240925,15000,cgv,여가
20240925,9900,육앤샤,식비
20240926,1900,cu,"편의점, 마트"
20240926,24840,에이블리,쇼핑
20240926,1500,버스이용,교통
20240926,16100,배달의 민족,식비
20240927,5500,투썸플레이스,카페/간식
20240927,25000,롯데마트,"편의점, 마트"
20240928,2550,버스이용,교통
20240928,3200,세븐일레븐,"편의점, 마트"
20240928,21000,일백집,식비
20240928,2550,버스이용,교통
20240929,21900,배달의 민족,식비
20240929,3000,크라운pc방,여가
20240929,8000,크라운pc방,여가
20240930,1500,버스이용,교통
20240930,1500,버스이용,교통
20241001,2420,카카오바이크,교통
20241001,15000,다온푸드,식비
20241001,6500,세븐일레븐,"편의점, 마트"
20241002,7200,이비인후과,기타
20241002,4200,우리약국,기타
20241003,10800,메가커피,카페/간식
20241003,13000,미용실,기타
20241004,6100,cu,"편의점, 마트"
20241004,1020,카카오바이크,교통
20241004,3000,쥬시,카페/간식
20241005,70630,에이블리,쇼핑
20241005,1500,버스이용,교통
20241005,12100,스타벅스,카페/간식
20241006,15000,메가박스,카페/간식
20241006,6900,마라탕,식비
20241006,5000,노래방,여가
20241006,12900,대동서적,쇼핑
20241007,1500,버스이용,교통
20241007,1500,이마트24,"편의점, 마트"
20241008,2420,카카오바이크,교통
20241008,6800,서브웨이,식비
20241009,15900,카카오선물하기,쇼핑
20241009,9500,카바레식당,식비
20241009,17000,심쿵피어싱,기타
20241009,1500,버스이용,교통
20241009,5000,노래방,여가
